x,y,z,intensity,volume,csv_path
16.9,16.6,4.29,41600000,260,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
15.6,12.8,11.6,52900000,318,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
7.85,13.5,6.69,77700000,412,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
7.58,4.21,6.92,44000000,311,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
,,,,,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
,,,,,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
,,,,,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
,,,,,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
,,,,,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
,,,,,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
3.2227795276,3.8212992126,2.8315944882,63753792,399.9236096,Q7.13/R_3lAJ9xY4kGlL99f_nuclei2.csv
3.411,2.0109,1.6112096774,86984512,488.095744,Q7.13/R_3lAJ9xY4kGlL99f_nuclei2.csv
4.1182350814,4.2185786618,1.0540687161,62467008,435.3499136,Q7.13/R_3lAJ9xY4kGlL99f_nuclei2.csv
1.0760540793,1.924630303,1.6854079254,56118400,422.163456,Q7.13/R_3lAJ9xY4kGlL99f_nuclei2.csv
5.0913439636,5.7273876993,2.1364920273,71678464,432.004096,Q7.13/R_3lAJ9xY4kGlL99f_nuclei2.csv
17.017,16.444,4.353,181471.6,395.896,Q7.13/R_1lxxm7Riv8MvNVz_nuclei2.csv
7.577,4.378,6.221,160794.72,425.402,Q7.13/R_1lxxm7Riv8MvNVz_nuclei2.csv
8.06,13.522,6.369,256547.54,464.899,Q7.13/R_1lxxm7Riv8MvNVz_nuclei2.csv
23.064,20.522,8.678,226399.79,453.888,Q7.13/R_1lxxm7Riv8MvNVz_nuclei2.csv
15.409,12.974,11.583,202042.33,427.582,Q7.13/R_1lxxm7Riv8MvNVz_nuclei2.csv
16.96459861,16.40964208,4.535740772,25227863,162.6997995,Q7.13/R_2DNRFrAvCDUX1EL_nuclei2.csv
7.534079601,4.172606813,7.05904588,24756054,177.8039374,Q7.13/R_2DNRFrAvCDUX1EL_nuclei2.csv
15.50031781,12.90696431,11.54253496,33572199,198.947278,Q7.13/R_2DNRFrAvCDUX1EL_nuclei2.csv
23.10487325,20.56135564,9.031211907,36204265,205.9919926,Q7.13/R_2DNRFrAvCDUX1EL_nuclei2.csv
7.910629147,13.23796615,6.785289037,43422029,221.7215099,Q7.13/R_2DNRFrAvCDUX1EL_nuclei2.csv
22.68,20.2,8.73,73547600,429.97,Q7.13/R_3j9w1bGwWGd8yOC_nuclei2.csv
16.62,16.43,4.91,48092500,306.59,Q7.13/R_3j9w1bGwWGd8yOC_nuclei2.csv
15.49,13.17,10.99,63595200,390.02,Q7.13/R_3j9w1bGwWGd8yOC_nuclei2.csv
